run_id,message_id,image_name,detections_count,top_class,top_confidence,inference_started_at,inference_finished_at,inference_ms,payload_size_bytes,publish_started_at,publish_confirmed_at,subscriber_received_at,subscriber_ack_published_at,publisher_ack_received_at,publish_to_subscriber_ms,subscriber_ack_processing_ms,ack_return_ms,roundtrip_ms
steps-local-yolo,97,000102.JPG,6,plastic_verpakking,0.9453,1776617771.166161,1776617771.235658,69.5,964,1776617771.236593,1776617771.236895,1776617771.238078,1776617771.238146,1776617771.240766,1.49,0.07,2.62,4.17
steps-local-yolo,98,000103.JPG,2,plastic_verpakking,0.9066,1776617771.248628,1776617771.286475,37.85,477,1776617771.286892,1776617771.287203,1776617771.288572,1776617771.288602,1776617771.291348,1.68,0.03,2.75,4.46
steps-local-yolo,99,000104.JPG,2,plastic_verpakking,0.9707,1776617771.298631,1776617771.331383,32.75,485,1776617771.331814,1776617771.332098,1776617771.333435,1776617771.333466,1776617771.336101,1.62,0.03,2.64,4.29
steps-local-yolo,100,test.jpg,1,metalen_verpakking,0.9686,1776617771.343658,1776617771.41309,69.43,363,1776617771.413345,1776617771.413606,1776617771.414885,1776617771.414915,1776617771.417398,1.54,0.03,2.48,4.05
steps-local-yolo,1,000000.jpg,4,metalen_verpakking,0.9391,1776618173.837111,1776618175.317226,1480.12,715,1776618175.318102,1776618175.318492,1776618175.319805,1776618175.31984,1776618175.322487,1.7,0.04,2.65,4.38
steps-local-yolo,2,000001.jpg,1,plastic_verpakking,0.9378,1776618175.330062,1776618175.471808,141.75,366,1776618175.472288,1776618175.472658,1776618175.473911,1776618175.473942,1776618175.476673,1.62,0.03,2.73,4.38
steps-local-yolo,3,000002.jpg,1,plastic_verpakking,0.7975,1776618175.484272,1776618175.597007,112.74,366,1776618175.597824,1776618175.59812,1776618175.599408,1776618175.599438,1776618175.602163,1.58,0.03,2.72,4.34
steps-local-yolo,4,000003.jpg,1,plastic_verpakking,0.935,1776618175.609521,1776618175.733498,123.98,363,1776618175.733982,1776618175.734323,1776618175.735641,1776618175.73567,1776618175.738192,1.66,0.03,2.52,4.21
steps-local-yolo,5,000004.jpg,1,plastic_verpakking,0.8714,1776618175.745917,1776618175.863384,117.47,361,1776618175.864106,1776618175.864421,1776618175.865979,1776618175.86601,1776618175.868793,1.87,0.03,2.78,4.69
steps-local-yolo,6,000005.jpg,1,plastic_verpakking,0.9639,1776618175.875766,1776618175.990791,115.02,365,1776618175.991276,1776618175.991597,1776618175.992843,1776618175.992872,1776618175.995774,1.57,0.03,2.9,4.5
steps-local-yolo,7,000006.jpg,1,plastic_verpakking,0.8271,1776618176.003186,1776618176.125485,122.3,365,1776618176.126197,1776618176.126494,1776618176.127961,1776618176.127992,1776618176.130755,1.76,0.03,2.76,4.56
steps-local-yolo,8,000007.jpg,2,plastic_verpakking,0.9495,1776618176.137831,1776618176.263743,125.91,485,1776618176.26446,1776618176.264784,1776618176.26612,1776618176.266151,1776618176.26862,1.66,0.03,2.47,4.16
