run_id,message_id,image_name,detections_count,top_class,top_confidence,inference_started_at,inference_finished_at,inference_ms,payload_size_bytes,publish_started_at,publish_confirmed_at,subscriber_received_at,subscriber_ack_published_at,publisher_ack_received_at,publish_to_subscriber_ms,subscriber_ack_processing_ms,ack_return_ms,roundtrip_ms
steps-cloud-yolo-tailscale,74,000077.jpg,1,plastic_verpakking,0.9751,1776617206.031583,1776617206.060049,28.47,373,1776617206.060387,1776617206.060683,1776617206.072,1776617206.072028,1776617206.084575,11.61,0.03,12.55,24.19
steps-cloud-yolo-tailscale,75,000078.jpg,3,metalen_verpakking,0.9579,1776617206.092622,1776617206.146867,54.24,616,1776617206.147516,1776617206.147779,1776617206.159104,1776617206.159139,1776617206.171767,11.59,0.04,12.63,24.25
steps-cloud-yolo-tailscale,76,000079.jpg,1,plastic_verpakking,0.938,1776617206.179602,1776617206.227451,47.85,370,1776617206.227707,1776617206.227983,1776617206.239381,1776617206.239413,1776617206.252255,11.67,0.03,12.84,24.55
steps-cloud-yolo-tailscale,77,000080.jpg,2,plastic_verpakking,0.9275,1776617206.259712,1776617206.295376,35.66,491,1776617206.295957,1776617206.296273,1776617206.307861,1776617206.307892,1776617206.320347,11.9,0.03,12.45,24.39
steps-cloud-yolo-tailscale,78,000081.jpg,1,plastic_verpakking,0.935,1776617206.32774,1776617206.358257,30.52,373,1776617206.358504,1776617206.358782,1776617206.370301,1776617206.37033,1776617206.383171,11.8,0.03,12.84,24.67
steps-cloud-yolo-tailscale,79,000082.JPG,3,plastic_verpakking,0.8847,1776617206.390339,1776617206.436272,45.93,617,1776617206.436866,1776617206.437138,1776617206.448497,1776617206.448529,1776617206.461094,11.63,0.03,12.57,24.23
steps-cloud-yolo-tailscale,80,000083.JPG,2,plastic_verpakking,0.9158,1776617206.468691,1776617206.529169,60.48,496,1776617206.529655,1776617206.529957,1776617206.541533,1776617206.541564,1776617206.554288,11.88,0.03,12.72,24.63
steps-cloud-yolo-tailscale,81,000085.JPG,1,plastic_verpakking,0.9588,1776617206.561726,1776617206.598412,36.69,375,1776617206.598678,1776617206.599038,1776617206.610054,1776617206.610083,1776617206.623092,11.38,0.03,13.01,24.41
steps-cloud-yolo-tailscale,82,000086.JPG,2,metalen_verpakking,0.9442,1776617206.630897,1776617206.66603,35.13,493,1776617206.666502,1776617206.666808,1776617206.678157,1776617206.678193,1776617206.691051,11.65,0.04,12.86,24.55
steps-cloud-yolo-tailscale,83,000087.JPG,3,plastic_verpakking,0.922,1776617206.698294,1776617206.734257,35.96,609,1776617206.734856,1776617206.735119,1776617206.746681,1776617206.746716,1776617206.759619,11.83,0.03,12.9,24.76
steps-cloud-yolo-tailscale,84,000088.JPG,1,metalen_verpakking,0.8148,1776617206.766797,1776617206.832768,65.97,376,1776617206.833077,1776617206.833378,1776617206.844922,1776617206.844955,1776617206.857651,11.84,0.03,12.7,24.57
steps-cloud-yolo-tailscale,85,000089.JPG,1,plastic_verpakking,0.9566,1776617206.864957,1776617206.919006,54.05,374,1776617206.919255,1776617206.919575,1776617206.931065,1776617206.931093,1776617206.943879,11.81,0.03,12.79,24.62
steps-cloud-yolo-tailscale,86,000090.JPG,2,plastic_verpakking,0.9342,1776617206.951317,1776617206.998166,46.85,493,1776617207.002126,1776617207.002479,1776617207.014024,1776617207.014059,1776617207.026792,11.9,0.04,12.73,24.67
steps-cloud-yolo-tailscale,87,000091.JPG,1,metalen_verpakking,0.9701,1776617207.034184,1776617207.103195,69.01,374,1776617207.10346,1776617207.10376,1776617207.115208,1776617207.115239,1776617207.127941,11.75,0.03,12.7,24.48
steps-cloud-yolo-tailscale,88,000092.JPG,6,plastic_verpakking,0.845,1776617207.135712,1776617207.178767,43.05,974,1776617207.179682,1776617207.180214,1776617207.191951,1776617207.191986,1776617207.204815,12.27,0.04,12.83,25.13
steps-cloud-yolo-tailscale,89,000093.JPG,2,plastic_verpakking,0.9584,1776617207.211883,1776617207.243165,31.28,498,1776617207.243591,1776617207.243886,1776617207.255211,1776617207.255243,1776617207.267924,11.62,0.03,12.68,24.33
